id,name,Type,Gender,Skin,Attribute Count,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7
0,Punk #0,Human,Female,Medium,3,Green Eye Shadow,Earring,Blonde Bob,,,,
1,Punk #1,Human,Male,Dark,2,Smile,Mohawk,,,,,
2,Punk #2,Human,Female,Light,1,Wild Hair,,,,,,
3,Punk #3,Human,Male,Dark,3,Wild Hair,Nerd Glasses,Pipe,,,,
4,Punk #4,Human,Male,Medium,4,Big Shades,Wild Hair,Earring,Goat,,,
5,Punk #5,Human,Female,Medium,3,Purple Eye Shadow,Half Shaved,Earring,,,,
6,Punk #6,Human,Male,Medium,1,Do-rag,,,,,,
7,Punk #7,Human,Female,Medium,3,Wild White Hair,Spots,Clown Eyes Blue,,,,
8,Punk #8,Human,Male,Dark,2,Messy Hair,Luxurious Beard,,,,,
9,Punk #9,Human,Male,Medium,3,Clown Nose,Police Cap,Big Beard,,,,
10,Punk #10,Human,Female,Dark,2,Blue Eye Shadow,Mohawk,,,,,
11,Punk #11,Human,Female,Medium,3,Black Lipstick,Clown Eyes Green,Straight Hair Dark,,,,
12,Punk #12,Human,Female,Dark,2,Blonde Short,Purple Lipstick,,,,,
13,Punk #13,Human,Female,Light,3,Big Shades,Black Lipstick,Straight Hair Blonde,,,,
14,Punk #14,Human,Female,Dark,3,Pipe,Pilot Helmet,Hot Lipstick,,,,
15,Punk #15,Human,Male,Albino,3,Luxurious Beard,Wild Hair,Regular Shades,,,,
16,Punk #16,Human,Male,Medium,3,Stringy Hair,Earring,Small Shades,,,,
17,Punk #17,Human,Male,Light,2,Frown,Mohawk,,,,,
18,Punk #18,Human,Male,Medium,2,Eye Mask,Muttonchops,,,,,
19,Punk #19,Human,Female,Dark,3,Bandana,Horned Rim Glasses,Hot Lipstick,,,,
20,Punk #20,Human,Male,Light,1,Crazy Hair,,,,,,
21,Punk #21,Human,Male,Light,3,Messy Hair,Classic Shades,Earring,,,,
22,Punk #22,Human,Female,Dark,2,Pilot Helmet,Purple Lipstick,,,,,
23,Punk #23,Human,Male,Light,3,Handlebars,Earring,Do-rag,,,,
24,Punk #24,Human,Male,Light,2,Smile,Mohawk Dark,,,,,
25,Punk #25,Human,Female,Dark,1,Wild White Hair,,,,,,
26,Punk #26,Human,Female,Medium,1,Dark Hair,,,,,,
27,Punk #27,Human,Male,Light,2,Peak Spike,Earring,,,,,
28,Punk #28,Human,Male,Dark,2,Big Shades,Crazy Hair,,,,,
29,Punk #29,Human,Female,Medium,3,Horned Rim Glasses,Half Shaved,Earring,,,,
30,Punk #30,Human,Male,Dark,2,Normal Beard Black,Cap,,,,,
31,Punk #31,Human,Female,Dark,1,Stringy Hair,,,,,,
32,Punk #32,Human,Male,Light,2,Frown,VR,,,,,
33,Punk #33,Human,Male,Light,1,Peak Spike,,,,,,
34,Punk #34,Human,Female,Light,2,Frumpy Hair,Purple Lipstick,,,,,
35,Punk #35,Human,Male,Dark,5,Cigarette,Peak Spike,Earring,Horned Rim Glasses,Normal Beard,,
36,Punk #36,Human,Female,Medium,1,Red Mohawk,,,,,,
37,Punk #37,Human,Female,Dark,2,Cap,Clown Eyes Blue,,,,,
38,Punk #38,Human,Female,Light,3,Frumpy Hair,Classic Shades,Purple Lipstick,,,,
39,Punk #39,Human,Male,Light,3,Frown,Shaved Head,Regular Shades,,,,
40,Punk #40,Human,Male,Light,3,Bandana,Chinstrap,Smile,,,,
41,Punk #41,Human,Male,Dark,3,Muttonchops,Wild Hair,Clown Eyes Green,,,,
42,Punk #42,Human,Female,Dark,2,Wild Hair,Cigarette,,,,,
43,Punk #43,Human,Female,Medium,1,Half Shaved,,,,,,
44,Punk #44,Human,Male,Light,1,Messy Hair,,,,,,
45,Punk #45,Human,Male,Medium,2,Earring,Mole,,,,,
46,Punk #46,Human,Female,Medium,2,Purple Lipstick,Straight Hair Dark,,,,,
47,Punk #47,Human,Male,Dark,1,Knitted Cap,,,,,,
48,Punk #48,Human,Male,Light,2,Big Shades,Mohawk,,,,,
49,Punk #49,Human,Female,Dark,2,Bandana,Purple Eye Shadow,,,,,
50,Punk #50,Human,Male,Medium,2,Spots,Fedora,,,,,
51,Punk #51,Human,Male,Medium,3,Muttonchops,Wild Hair,Earring,,,,
52,Punk #52,Human,Male,Dark,4,Shadow Beard,Earring,Nerd Glasses,Knitted Cap,,,
53,Punk #53,Human,Female,Light,2,Big Shades,Straight Hair,,,,,
54,Punk #54,Human,Male,Dark,1,Hoodie,,,,,,
